Team,Minutes played,Goals scored,Assists
Athletic Club,126.28727586206897,42,29
Atlético de Madrid,65.031625,53,36
CD Leganés,136.44248275862068,36,25
D. Alavés,135.16042307692308,33,23
FC Barcelona,113.656,87,60
Getafe CF,103.49295833333333,46,32
Girona FC,156.8702068965517,37,23
Levante UD,104.49234615384616,55,40
R. Valladolid CF,148.36033333333333,29,20
RC Celta,153.01264,52,37
RCD Espanyol,150.11467857142858,41,23
Rayo Vallecano,66.12633333333333,40,24
Real Betis,159.73746666666665,41,30
Real Madrid,138.58809677419353,61,39
Real Sociedad,163.58118181818182,44,27
SD Eibar,89.31795652173913,46,25
SD Huesca,152.80808,42,25
Sevilla FC,173.0023076923077,60,46
Valencia CF,63.804125,52,39
Villarreal CF,111.44455555555557,46,32
